family_label,feature,orig_n,syn_n,orig_mean,syn_mean,abs_smd
F5_ai_media_demo,user_login_entropy,4,56,2.965725466930915,3.0513341530330402,0.5133986394250707
F5_ai_media_demo,repo_name_entropy,4,56,2.6488451471323704,2.842691837418733,0.37576804829528454
F1_pumpfun_clone,large_file_count_ge_1mb,24,36,5.0,5.222222222222222,0.3630795257188619
F1_pumpfun_clone,file_extension_diversity,24,36,6.958333333333333,7.166666666666667,0.3524474338677727
F5_ai_media_demo,user_login_length,4,56,10.75,11.482142857142858,0.3346838244728933
F1_pumpfun_clone,env_file_count,24,36,1.0,1.1666666666666667,0.30429030972509247
F4_security_osint_cve,large_file_count_ge_1mb,5,55,0.6,0.43636363636363634,0.263258072685767
F3_web3_platform_app,user_login_entropy,8,52,2.9404473760479055,3.015504551662845,0.20816982541038986
F1_pumpfun_clone,max_path_depth,24,36,2.0,1.8888888888888888,0.20022896401315768
F5_ai_media_demo,repo_name_length,4,56,10.5,11.946428571428571,0.18754226014055814
F1_pumpfun_clone,avg_file_size_bytes,24,36,502859.63293650793,495517.4699096399,0.17611242091728438
F4_security_osint_cve,user_login_length,5,55,9.4,10.054545454545455,0.17327872575215547
F2_crypto_trading_bot,max_path_depth,4,56,4.0,4.25,0.16907477217574057
F3_web3_platform_app,test_related_file_count,8,52,2.875,2.576923076923077,0.16047364592563165
F1_pumpfun_clone,user_profile_completeness,24,36,1.5416666666666667,1.3888888888888888,0.15737459123217812
F5_ai_media_demo,top_level_dir_count,4,56,2.25,2.4642857142857144,0.1470212521214489
F4_security_osint_cve,go_file_count,5,55,0.4,0.2909090909090909,0.13897645856679297
F3_web3_platform_app,hidden_file_count,8,52,5.75,5.269230769230769,0.13714630150716076
F3_web3_platform_app,subscribers_count,8,52,0.375,0.46153846153846156,0.13089430693248535
F5_ai_media_demo,file_extension_diversity,4,56,5.0,5.125,0.1293085976147982
F4_security_osint_cve,user_login_entropy,5,55,2.524430397728171,2.634017409345228,0.1238846402363025
F3_web3_platform_app,hidden_file_ratio,8,52,0.014891435126268417,0.013893964767589563,0.12356471387774272
F4_security_osint_cve,desc_length,5,55,25.6,27.418181818181818,0.11774171803021906
F3_web3_platform_app,contract_test_ratio,8,52,1.4285714285714286,1.217834249084249,0.11733874589994547
