family_label,feature,orig_n,syn_n,orig_rate,syn_rate,abs_diff
F4_security_osint_cve,user_name_matches_login,5,55,0.8,0.5272727272727272,0.2727272727272728
F1_pumpfun_clone,user_name_matches_login,24,36,0.25,0.5,0.25
F3_web3_platform_app,user_name_matches_login,8,52,0.5,0.36538461538461536,0.13461538461538464
F2_crypto_trading_bot,user_name_matches_login,4,56,0.25,0.35714285714285715,0.10714285714285715
F5_ai_media_demo,user_name_matches_login,4,56,0.5,0.5535714285714286,0.0535714285714286
F3_web3_platform_app,has_license_meta,8,52,0.375,0.34615384615384615,0.028846153846153855
F3_web3_platform_app,repo_name_has_blockchain_keyword,8,52,0.375,0.40384615384615385,0.028846153846153855
F3_web3_platform_app,has_deploy_dir,8,52,0.25,0.23076923076923078,0.019230769230769218
F3_web3_platform_app,has_email,8,52,0.5,0.4807692307692308,0.019230769230769218
F3_web3_platform_app,has_hardhat_config,8,52,0.25,0.23076923076923078,0.019230769230769218
F3_web3_platform_app,has_license_file,8,52,0.5,0.4807692307692308,0.019230769230769218
F3_web3_platform_app,has_package_lock_json,8,52,0.5,0.4807692307692308,0.019230769230769218
F3_web3_platform_app,has_test_dir,8,52,0.25,0.23076923076923078,0.019230769230769218
F3_web3_platform_app,has_yarn_lock,8,52,0.25,0.23076923076923078,0.019230769230769218
F3_web3_platform_app,is_hireable,8,52,0.25,0.23076923076923078,0.019230769230769218
F3_web3_platform_app,is_stale_repo_flag,8,52,0.5,0.4807692307692308,0.019230769230769218
F3_web3_platform_app,primary_language_is_javascript,8,52,0.25,0.23076923076923078,0.019230769230769218
F3_web3_platform_app,user_type_is_org,8,52,0.25,0.2692307692307692,0.019230769230769218
F4_security_osint_cve,is_stale_repo_flag,5,55,0.2,0.21818181818181817,0.01818181818181816
F1_pumpfun_clone,has_homepage,24,36,0.041666666666666664,0.05555555555555555,0.013888888888888888
F3_web3_platform_app,framework_hint_count,8,52,0.375,0.36538461538461536,0.009615384615384637
F3_web3_platform_app,primary_language_is_typescript,8,52,0.375,0.38461538461538464,0.009615384615384637
F3_web3_platform_app,default_branch_is_master,8,52,0.125,0.11538461538461539,0.009615384615384609
F3_web3_platform_app,has_docs_dir,8,52,0.125,0.11538461538461539,0.009615384615384609
F3_web3_platform_app,has_executable_files,8,52,0.125,0.1346153846153846,0.009615384615384609
F3_web3_platform_app,has_homepage,8,52,0.125,0.11538461538461539,0.009615384615384609
F3_web3_platform_app,has_pnpm_lock,8,52,0.125,0.11538461538461539,0.009615384615384609
F3_web3_platform_app,has_truffle_config,8,52,0.125,0.1346153846153846,0.009615384615384609
F3_web3_platform_app,repo_is_fork,8,52,0.125,0.1346153846153846,0.009615384615384609
F3_web3_platform_app,wallet_frontend_risk_combo_flag,8,52,0.125,0.11538461538461539,0.009615384615384609
F3_web3_platform_app,default_branch_is_main,8,52,0.875,0.8846153846153846,0.009615384615384581
F3_web3_platform_app,frontend_contract_combo_flag,8,52,0.625,0.6153846153846154,0.009615384615384581
F3_web3_platform_app,has_env_file,8,52,0.875,0.8653846153846154,0.009615384615384581
F3_web3_platform_app,has_wiki_enabled,8,52,0.875,0.8653846153846154,0.009615384615384581
F3_web3_platform_app,readme_has_install_run_commands,8,52,0.875,0.8846153846153846,0.009615384615384581
F1_pumpfun_clone,allow_forking,24,36,1.0,1.0,0.0
F1_pumpfun_clone,binary_download_lure_combo_flag,24,36,0.0,0.0,0.0
F1_pumpfun_clone,default_branch_is_main,24,36,1.0,1.0,0.0
F1_pumpfun_clone,default_branch_is_master,24,36,0.0,0.0,0.0
F1_pumpfun_clone,desc_unique_domain_count,24,36,0.0,0.0,0.0
