synthetic_row_id,family_label,source_match_mode,source_row_id,source_raw_file_name,source_repo_full_name,cosine_similarity
45,F1_pumpfun_clone,source_raw_file_name,0,2723799947qq2022__solana-pumpfun-bot.json,2723799947qq2022/solana-pumpfun-bot,0.9999999999999964
46,F1_pumpfun_clone,source_raw_file_name,1,2kwkkk__solana-pumpfun-bot.json,2kwkkk/solana-pumpfun-bot,0.9999999999999964
47,F1_pumpfun_clone,source_raw_file_name,2,790659193qqch__solana-pumpfun-bot.json,790659193qqch/solana-pumpfun-bot,0.9999999999999964
48,F1_pumpfun_clone,source_raw_file_name,3,7arlystar__solana-pumpfun-bot.json,7arlystar/solana-pumpfun-bot,0.9999999999999964
49,F1_pumpfun_clone,source_raw_file_name,4,918715c83__solana-pumpfun-bot.json,918715c83/solana-pumpfun-bot,0.9999999999999964
50,F1_pumpfun_clone,source_raw_file_name,6,AmirhBeigi7zch6f__solana-pumpfun-bot.json,AmirhBeigi7zch6f/solana-pumpfun-bot,0.9999999999999964
51,F1_pumpfun_clone,source_raw_file_name,8,asmaamohamed0264__solana-pumpfun-bot.json,asmaamohamed0264/solana-pumpfun-bot,0.9999999999999964
52,F1_pumpfun_clone,source_raw_file_name,9,bog-us__solana-pumpfun-bot.json,bog-us/solana-pumpfun-bot,0.9999999999999964
53,F1_pumpfun_clone,source_raw_file_name,12,edparker89__solana-pumpfun-bot.json,edparker89/solana-pumpfun-bot,0.9999999999999964
54,F1_pumpfun_clone,source_raw_file_name,16,ii4272__solana-pumpfun-bot.json,ii4272/solana-pumpfun-bot,0.9999999999999964
55,F1_pumpfun_clone,source_raw_file_name,17,ijtye__solana-pumpfun-bot.json,ijtye/solana-pumpfun-bot,0.9999999999999964
56,F1_pumpfun_clone,source_raw_file_name,18,iwanjunaids__solana-pumpfun-bot.json,iwanjunaids/solana-pumpfun-bot,0.9999999999999964
57,F1_pumpfun_clone,source_raw_file_name,19,janmalece__solana-pumpfun-bot.json,janmalece/solana-pumpfun-bot,0.9999999999999964
58,F1_pumpfun_clone,source_raw_file_name,20,kay2x4__solana-pumpfun-bot.json,kay2x4/solana-pumpfun-bot,0.9999999999999964
59,F1_pumpfun_clone,source_raw_file_name,22,lan666as2dfur__solana-pumpfun-bot.json,lan666as2dfur/solana-pumpfun-bot,0.9999999999999964
60,F1_pumpfun_clone,source_raw_file_name,23,loveccat__solana-pumpfun-bot.json,loveccat/solana-pumpfun-bot,0.9999999999999964
61,F1_pumpfun_clone,source_raw_file_name,24,lukgria__solana-pumpfun-bot.json,lukgria/solana-pumpfun-bot,0.9999999999999964
62,F1_pumpfun_clone,source_raw_file_name,25,mdemetrial26rvk9w__solana-pumpfun-bot.json,mdemetrial26rvk9w/solana-pumpfun-bot,0.9999999999999964
63,F1_pumpfun_clone,source_raw_file_name,31,oumengwas__solana-pumpfun-bot.json,oumengwas/solana-pumpfun-bot,0.9999999999999964
64,F1_pumpfun_clone,source_raw_file_name,32,Rain-Rave5__solana-pumpfun-bot.json,Rain-Rave5/solana-pumpfun-bot,0.9999999999999964
65,F1_pumpfun_clone,source_raw_file_name,38,wc64561673347375__solana-pumpfun-bot.json,wc64561673347375/solana-pumpfun-bot,0.9999999999999964
66,F1_pumpfun_clone,source_raw_file_name,39,wj6942__solana-pumpfun-bot.json,wj6942/solana-pumpfun-bot,0.9999999999999964
67,F1_pumpfun_clone,source_raw_file_name,40,xnaotutu77765__solana-pumpfun-bot.json,xnaotutu77765/solana-pumpfun-bot,0.9999999999999964
68,F1_pumpfun_clone,source_raw_file_name,42,yvagSirKt__solana-pumpfun-bot.json,yvagSirKt/solana-pumpfun-bot,0.9999999999999964
69,F1_pumpfun_clone,source_raw_file_name,0,2723799947qq2022__solana-pumpfun-bot.json,2723799947qq2022/solana-pumpfun-bot,0.9999999999999964
70,F1_pumpfun_clone,source_raw_file_name,1,2kwkkk__solana-pumpfun-bot.json,2kwkkk/solana-pumpfun-bot,0.9999999999999964
71,F1_pumpfun_clone,source_raw_file_name,2,790659193qqch__solana-pumpfun-bot.json,790659193qqch/solana-pumpfun-bot,0.9999999999999964
72,F1_pumpfun_clone,source_raw_file_name,3,7arlystar__solana-pumpfun-bot.json,7arlystar/solana-pumpfun-bot,0.9999999999999964
73,F1_pumpfun_clone,source_raw_file_name,4,918715c83__solana-pumpfun-bot.json,918715c83/solana-pumpfun-bot,0.9999999999999964
74,F1_pumpfun_clone,source_raw_file_name,6,AmirhBeigi7zch6f__solana-pumpfun-bot.json,AmirhBeigi7zch6f/solana-pumpfun-bot,0.9999999999999964
75,F1_pumpfun_clone,source_raw_file_name,8,asmaamohamed0264__solana-pumpfun-bot.json,asmaamohamed0264/solana-pumpfun-bot,0.9999999999999964
76,F1_pumpfun_clone,source_raw_file_name,9,bog-us__solana-pumpfun-bot.json,bog-us/solana-pumpfun-bot,0.9999999999999964
77,F1_pumpfun_clone,source_raw_file_name,12,edparker89__solana-pumpfun-bot.json,edparker89/solana-pumpfun-bot,0.9999999999999964
78,F1_pumpfun_clone,source_raw_file_name,16,ii4272__solana-pumpfun-bot.json,ii4272/solana-pumpfun-bot,0.9999999999999964
79,F1_pumpfun_clone,source_raw_file_name,17,ijtye__solana-pumpfun-bot.json,ijtye/solana-pumpfun-bot,0.9999999999999964
80,F1_pumpfun_clone,source_raw_file_name,18,iwanjunaids__solana-pumpfun-bot.json,iwanjunaids/solana-pumpfun-bot,0.9999999999999964
81,F4_security_osint_cve,source_raw_file_name,5,adminlove520__VulnWatchDog.json,adminlove520/VulnWatchDog,1.0000000000000004
82,F4_security_osint_cve,source_raw_file_name,30,nocomp__poc-CVE-2001-1473.json,nocomp/poc-CVE-2001-1473,0.9984404362158309
83,F4_security_osint_cve,source_raw_file_name,37,themaxlpalfaboy__CVE-2025-54897-LAB.json,themaxlpalfaboy/CVE-2025-54897-LAB,0.9997974412417557
84,F4_security_osint_cve,source_raw_file_name,43,Zeeeepa__spyder-osint.json,Zeeeepa/spyder-osint,0.9996392269692776
85,F4_security_osint_cve,source_raw_file_name,44,Zeeeepa__spyder-osint2.json,Zeeeepa/spyder-osint2,0.9992767996354912
86,F4_security_osint_cve,source_raw_file_name,5,adminlove520__VulnWatchDog.json,adminlove520/VulnWatchDog,1.0000000000000004
87,F4_security_osint_cve,source_raw_file_name,30,nocomp__poc-CVE-2001-1473.json,nocomp/poc-CVE-2001-1473,0.9875755902749761
88,F4_security_osint_cve,source_raw_file_name,37,themaxlpalfaboy__CVE-2025-54897-LAB.json,themaxlpalfaboy/CVE-2025-54897-LAB,0.9997974412417557
89,F4_security_osint_cve,source_raw_file_name,43,Zeeeepa__spyder-osint.json,Zeeeepa/spyder-osint,0.9996392269692776
90,F4_security_osint_cve,source_raw_file_name,44,Zeeeepa__spyder-osint2.json,Zeeeepa/spyder-osint2,0.9992767996354912
91,F4_security_osint_cve,source_raw_file_name,5,adminlove520__VulnWatchDog.json,adminlove520/VulnWatchDog,1.0000000000000004
92,F4_security_osint_cve,source_raw_file_name,30,nocomp__poc-CVE-2001-1473.json,nocomp/poc-CVE-2001-1473,0.9984404362158309
93,F4_security_osint_cve,source_raw_file_name,37,themaxlpalfaboy__CVE-2025-54897-LAB.json,themaxlpalfaboy/CVE-2025-54897-LAB,0.9997974412417557
94,F4_security_osint_cve,source_raw_file_name,43,Zeeeepa__spyder-osint.json,Zeeeepa/spyder-osint,0.9966075108745049
95,F4_security_osint_cve,source_raw_file_name,44,Zeeeepa__spyder-osint2.json,Zeeeepa/spyder-osint2,0.9992767996354912
96,F4_security_osint_cve,source_raw_file_name,5,adminlove520__VulnWatchDog.json,adminlove520/VulnWatchDog,1.0000000000000004
97,F4_security_osint_cve,source_raw_file_name,30,nocomp__poc-CVE-2001-1473.json,nocomp/poc-CVE-2001-1473,0.9984404362158309
98,F4_security_osint_cve,source_raw_file_name,37,themaxlpalfaboy__CVE-2025-54897-LAB.json,themaxlpalfaboy/CVE-2025-54897-LAB,0.9997974412417557
99,F4_security_osint_cve,source_raw_file_name,43,Zeeeepa__spyder-osint.json,Zeeeepa/spyder-osint,0.9966075108745049
100,F4_security_osint_cve,source_raw_file_name,44,Zeeeepa__spyder-osint2.json,Zeeeepa/spyder-osint2,0.9992767996354912
101,F4_security_osint_cve,source_raw_file_name,5,adminlove520__VulnWatchDog.json,adminlove520/VulnWatchDog,1.0000000000000004
102,F4_security_osint_cve,source_raw_file_name,30,nocomp__poc-CVE-2001-1473.json,nocomp/poc-CVE-2001-1473,0.9875755902749761
103,F4_security_osint_cve,source_raw_file_name,37,themaxlpalfaboy__CVE-2025-54897-LAB.json,themaxlpalfaboy/CVE-2025-54897-LAB,0.9997974412417557
104,F4_security_osint_cve,source_raw_file_name,43,Zeeeepa__spyder-osint.json,Zeeeepa/spyder-osint,0.9975676043061595
105,F4_security_osint_cve,source_raw_file_name,44,Zeeeepa__spyder-osint2.json,Zeeeepa/spyder-osint2,0.9992767996354912
106,F4_security_osint_cve,source_raw_file_name,5,adminlove520__VulnWatchDog.json,adminlove520/VulnWatchDog,1.0000000000000004
107,F4_security_osint_cve,source_raw_file_name,30,nocomp__poc-CVE-2001-1473.json,nocomp/poc-CVE-2001-1473,0.9984404362158309
108,F4_security_osint_cve,source_raw_file_name,37,themaxlpalfaboy__CVE-2025-54897-LAB.json,themaxlpalfaboy/CVE-2025-54897-LAB,0.9997974412417557
109,F4_security_osint_cve,source_raw_file_name,43,Zeeeepa__spyder-osint.json,Zeeeepa/spyder-osint,0.9996392269692776
110,F4_security_osint_cve,source_raw_file_name,44,Zeeeepa__spyder-osint2.json,Zeeeepa/spyder-osint2,0.9996414218404953
111,F4_security_osint_cve,source_raw_file_name,5,adminlove520__VulnWatchDog.json,adminlove520/VulnWatchDog,1.0000000000000004
112,F4_security_osint_cve,source_raw_file_name,30,nocomp__poc-CVE-2001-1473.json,nocomp/poc-CVE-2001-1473,0.9875755902749761
113,F4_security_osint_cve,source_raw_file_name,37,themaxlpalfaboy__CVE-2025-54897-LAB.json,themaxlpalfaboy/CVE-2025-54897-LAB,0.9997974412417557
114,F4_security_osint_cve,source_raw_file_name,43,Zeeeepa__spyder-osint.json,Zeeeepa/spyder-osint,0.9966075108745049
115,F4_security_osint_cve,source_raw_file_name,44,Zeeeepa__spyder-osint2.json,Zeeeepa/spyder-osint2,0.9996414218404953
116,F4_security_osint_cve,source_raw_file_name,5,adminlove520__VulnWatchDog.json,adminlove520/VulnWatchDog,1.0000000000000004
117,F4_security_osint_cve,source_raw_file_name,30,nocomp__poc-CVE-2001-1473.json,nocomp/poc-CVE-2001-1473,0.9984404362158309
118,F4_security_osint_cve,source_raw_file_name,37,themaxlpalfaboy__CVE-2025-54897-LAB.json,themaxlpalfaboy/CVE-2025-54897-LAB,0.9997974412417557
119,F4_security_osint_cve,source_raw_file_name,43,Zeeeepa__spyder-osint.json,Zeeeepa/spyder-osint,0.9966075108745049
120,F4_security_osint_cve,source_raw_file_name,44,Zeeeepa__spyder-osint2.json,Zeeeepa/spyder-osint2,0.9941818657156578
121,F4_security_osint_cve,source_raw_file_name,5,adminlove520__VulnWatchDog.json,adminlove520/VulnWatchDog,1.0000000000000004
122,F4_security_osint_cve,source_raw_file_name,30,nocomp__poc-CVE-2001-1473.json,nocomp/poc-CVE-2001-1473,0.9875755902749761
123,F4_security_osint_cve,source_raw_file_name,37,themaxlpalfaboy__CVE-2025-54897-LAB.json,themaxlpalfaboy/CVE-2025-54897-LAB,0.9997974412417557
124,F4_security_osint_cve,source_raw_file_name,43,Zeeeepa__spyder-osint.json,Zeeeepa/spyder-osint,0.9975676043061595
